switch_date,old_symbol,new_symbol,old_close,new_close,price_diff,cumulative_adjustment,basis_date
2018-11-30,RB1901,RB1905,3605.0,3307.0,-298.0,-298.0,2018-11-29
2019-04-02,RB1905,RB1910,3806.0,3497.0,-309.0,-607.0,2019-04-01
2019-08-23,RB1910,RB2001,3715.0,3418.0,-297.0,-904.0,2019-08-22
2019-12-05,RB2001,RB2005,3603.0,3413.0,-190.0,-1094.0,2019-12-04
2020-03-25,RB2005,RB2010,3435.0,3346.0,-89.0,-1183.0,2020-03-24
2020-08-25,RB2010,RB2101,3781.0,3732.0,-49.0,-1232.0,2020-08-24
2020-12-05,RB2101,RB2105,3900.0,3813.0,-87.0,-1319.0,2020-12-04
2021-04-06,RB2105,RB2110,5157.0,5119.0,-38.0,-1357.0,2021-04-02
2021-08-10,RB2110,RB2201,5330.0,5341.0,11.0,-1346.0,2021-08-09
2021-11-25,RB2201,RB2205,4502.0,4239.0,-263.0,-1609.0,2021-11-24
2022-03-26,RB2205,RB2210,5013.0,4974.0,-39.0,-1648.0,2022-03-25
2022-08-30,RB2210,RB2301,3965.0,3761.0,-204.0,-1852.0,2022-08-29
2022-12-01,RB2301,RB2305,3748.0,3719.0,-29.0,-1881.0,2022-11-30
2023-04-03,RB2305,RB2310,4139.0,4122.0,-17.0,-1898.0,2023-04-01
2023-09-04,RB2310,RB2401,3795.0,3843.0,48.0,-1850.0,2023-09-02
2023-12-06,RB2401,RB2405,3870.0,3899.0,29.0,-1821.0,2023-12-05
2024-04-02,RB2405,RB2410,3456.0,3492.0,36.0,-1785.0,2024-04-01
2024-08-31,RB2410,RB2501,3222.0,3287.0,65.0,-1720.0,2024-08-30
2024-12-05,RB2501,RB2505,3339.0,3405.0,66.0,-1654.0,2024-12-04
